layer,unit,summary
layer4,966,electronic devices with keyboards
layer4,966,keys
layer4,626,animals and corners
layer4,626,"long, thin objects"
layer4,626,hands of people
layer4,1783,"a keyboard, a hog, a matress, a crab"
layer4,1783,"animals, laptops, and domes"
layer4,1783,items with curved items
layer4,1891,birds standing up
layer4,1891,"long, thin items"
layer4,1891,vertical line patterns
layer3,298,cell phones
layer3,298,areas that look like keys on a keyboard
layer3,298,the front of objects
layer3,451,the sky at the top of an image
layer3,451,part of the area above an object
layer3,451,region above subject
layer3,811,animal eyes and noses
layer3,811,eyes of animals
layer3,811,eyes of animals
layer4,497,shirts
layer4,497,jacket being worn by person
layer4,497,red coats and tops
layer4,1406,"a person in camo, food on a plate"
layer4,1406,"people, grass, food and water"
layer4,1406,"person, food, bridge"
layer4,2016,"a dog on the grass, a statue on a roof"
layer4,2016,animals and shelves
layer4,2016,"the sky, animal"
layer2,405,"a bird walks through a grass, cat"
layer2,405,pink
layer2,405,various red objects
layer3,374,pale spots
layer3,374,straps of shirts
layer3,374,shows light images that are curved
layer4,170,"arms, legs, and sticks"
layer4,170,skinny poles
layer4,170,area where action is taking place by an animal or human
layer4,751,"animals, electronics, and food"
layer4,751,small animals and hands
layer4,751,edges of objects
layer4,957,"vehicles, animals and circular objects"
layer4,957,"vehicles, animals and circles"
layer4,957,furry animals
layer4,1390,"a bus in the distance, a tractor, a dog laying down, hyena, a snake"
layer4,1390,animals and vehicles
layer4,1390,items with angles
layer2,134,"turtles on the ground, birds on the ground, mama's"
layer2,134,yellow objects
layer2,134,the front of the image
layer2,171,dotted material
layer2,171,patterned fabric
layer2,171,long bumpy and rounded textures
layer4,446,windows and tents
layer4,446,object composed of lines
layer4,446,square edges
layer4,297,walls
layer4,297,red and orange objects
layer4,297,thick lines through them
layer4,2023,"people on the grass, crutches, baby. cat on a monitor"
layer4,2023,"babies, animals and bottle shaped things"
layer4,2023,"people, logo, sewer grate"
layer4,1679,"airplane in the sky, a person doing tricks on a bike, a hole in the ground"
layer4,1679,long thin objects attached to larger objects
layer4,1679,"long, thin items"
conv1,27,a row of slot machines
conv1,27,blue and red objects
conv1,27,blue areas in pictures
layer3,460,objects that are in pairs
layer3,460,the edge of two round things next to each other
layer3,460,two of the same object next to each other
layer4,49,hands and bricks
layer4,49,human hands
layer4,49,items that are held
layer4,340,"towers, legs and boxes"
layer4,340,white vertical structures
layer4,340,grassy areas
layer4,804,"a cross on the front of a church, a front of a building, a greenhouse with a dog standing in front, a group of students in a classroom"
layer4,804,"lamps, menus,, buildings and walls"
layer4,804,rock walls
layer4,1888,animals with fur
layer4,1888,"a star fish, a soldier in a old photo, a kit, a dog"
layer4,1888,animals and objects that resemble them
layer3,352,spaces on the left and right side of a bag
layer3,352,rounded corners of objects
layer3,352,netting material
layer3,693,skin of white people
layer3,693,arms and shiny metal objects
layer3,693,white skin
layer4,402,animals and grass
layer4,402,dirt areas
layer4,402,this region contains edges where two items meet
layer4,718,"animals, pens and fruit"
layer4,718,items that are connected
layer4,718,"insect, flag"
layer4,1091,"shelves, paths and things on shelves"
layer4,1091,rows of shoes
layer4,1091,clothing
layer1,6,tree branches
layer1,6,pale spots
layer1,6,areas in the middle of objects
layer3,14,square corners
layer3,14,vehicle grilles
layer3,14,corner or edges of things
layer2,271,dots outlining a animal
layer2,271,pale areas around a dark object
layer2,271,rounded areas in them or something sticking out
layer4,573,pyramid shaped objects and tools
layer4,573,poles and furniture
layer4,573,two objects that come to a point that almost form a triangle
layer4,616,"a bandaid, a barrel, a old mill"
layer4,616,"windows, ships, and circular objects"
layer4,616,cylinders
layer4,2002,"a sign in the sand, a tatoo on a arm, a toy a dog is playing with, space on the left side of a dog, bird, remote"
layer4,2002,"animals, remotes, and cups"
layer4,2002,items on other objects
layer4,1729,chests and necks of people
layer4,1729,"a face of dog, faces of people, a light pole"
layer4,1729,areas with lines
layer3,1,woolen objects
layer3,1,yarn and rope
layer3,1,colorful objects
layer3,110,the color or lettering on the side of vehicles
layer3,110,trucks
layer3,110,horizontal lines on cars
layer3,757,the cheeks of faces
layer3,757,"buttons, people and wheels"
layer3,757,faces and letters and numbers
layer4,1155,animals and square objects
layer4,1155,light switches
layer4,1155,cubed objects
layer4,1749,animals and poles
layer4,1749,a object sticking up from the base
layer4,1749,lighter areas in pictures
layer1,253,boarder of a photo
layer1,253,"white backgrounds, text"
layer1,253,around pictures
layer3,241,"a face mask, a old iron"
layer3,241,edges
layer3,241,the space side a bed
layer4,256,animals
layer4,256,heads of brown dogs
layer4,256,animals in the foreground and background
layer3,818,walls
layer3,818,white walls and dogs
layer3,818,walls with different colors
layer4,1310,spots of fur and edges of objects
layer4,1310,the corner outlines
layer4,1310,above an object
layer4,1026,food objects and grass
layer4,1026,animals and food
layer4,1026,people holding items
layer3,192,eyes and green plants
layer3,192,parts of brightly colored things
layer3,192,person
layer3,246,an ambulance
layer3,246,"outlines of animals, people and vehicles"
layer3,246,animal
layer4,81,"shirts, cars, fences and animals"
layer4,81,dogs
layer4,81,"person, animal, insect, car, railing"
layer3,539,dog mouths and legs and telescopes
layer3,539,mouths of dogs
layer3,539,parts of dogs and people
layer4,1195,vehicles and white objects
layer4,1195,areas with straight edges
layer4,1195,white objects
layer4,878,animals and lighting
layer4,878,textured objects
layer4,878,shaggy brown dogs
layer2,499,"fruits and vegetables, monkeys from trees, animals on the ground"
layer2,499,dots on the background or in apples
layer2,499,monkeys
layer3,61,corners of food and plates
layer3,61,"bowls, plates and area around animals"
layer3,61,food
layer3,694,bodies of animals
layer3,694,regions with curved areas
layer3,694,animal
layer4,419,people  and animals
layer4,419,faces and objects that resemble them
layer4,419,dark dogs
layer4,1984,"a lego truck, a school bus going down the street, a dog laying down, wheels of a car"
layer4,1984,legs and wheels
layer4,1984,brown legs of dogs and vehicles
layer4,1614,"homes, animals and switches"
layer4,1614,straight features
layer4,1614,"window, person, animal"
layer1,192,shoes and dogs
layer1,192,portions of white areas
layer1,192,"shoes, animals, person, labels"
layer2,62,stripes patterns
layer2,62,striped objects
layer2,62,the shapes of these have spokes throught
layer4,108,animal heads and objects that resemble them
layer4,108,faces of dogs and other animals
layer4,108,"nature, animal"
layer4,288,dogs and trains
layer4,288,the bottoms of objects
layer4,288,"train, truck, barrel, dog, food"
layer4,1022,backgrounds mostly in white or green
layer4,1022,green and white colors
layer4,1022,"animal, person, fence"
layer1,108,"aquatic life, jewelry, my player"
layer1,108,colorful dots mostly of red and green
layer1,108,red stripes and designs
layer3,482,patches of black and red
layer3,482,spots of the color white
layer3,482,similar patterns
layer3,888,"vehicles, pans, things with different colors"
layer3,888,tips and corners of objects
layer3,888,edges of objects
layer4,748,animals and cookware
layer4,748,bugs
layer4,748,"animal, mountain, insect"
layer4,1398,"instruments, bugs, food and carts"
layer4,1398,objects with red and yellow hues
layer4,1398,"people, nature, wine"
layer4,1724,"a tractor in the distance, camera, a kid playing a harmonica, a man holding a gun"
layer4,1724,"people, vehicles, and switches"
layer4,1724,angles
layer2,76,horizontal lines
layer2,76,outlines of green objects
layer2,76,green areas in picture
layer2,28,dark objects surrounded by background
layer2,28,the tips of black points
layer2,28,edges of objects
layer4,443,tilted rectangular surfaces
layer4,443,food
layer4,443,the region shows the tops of objects
layer3,880,animal heads
layer3,880,human hair
layer3,880,head of baby human or animal
layer4,1109,"a girl pushing around a toy lawnmower, a a face mask, clothing items, furniture, nature"
layer4,1109,"ropes, poles and furniture"
layer4,1109,"person, helmet, chair, nature"
layer4,1561,things that stick up from the bottle and locks
layer4,1561,curved objects and bottle caps
layer4,1561,bottle
layer2,384,contrasting colors
layer2,384,"a spiral stair's railing, design of a can"
layer2,384,"stairs, logo, person"
layer2,238,dots on circles or grids
layer2,238,bits of black marks in them
layer2,238,brighter areas in objects
layer3,804,water and windows and other reflective surfaces
layer3,804,grey areas
layer3,804,bodies of water
layer4,745,animal heads
layer4,745,brown dog faces
layer4,745,"lots of heads and eyes of various mammals, fish, birds, and reptiles, also lipstick, a sink, and a guitar"
layer4,900,"animals, vehicles and buildings"
layer4,900,objects with red and brown hues
layer4,900,orange objects
layer4,1718,"canon, race car, right and left side of a person"
layer4,1718,items with straight features
layer4,1718,edges of objects
layer2,198,the color blue
layer2,198,the color blue
layer2,198,blue areas in pictures
layer3,381,buttons and keys
layer3,381,buttons on safes
layer3,381,buttons and strings
layer3,951,indented areas on objects
layer3,951,bottles
layer3,951,"truck, musical instrument, swing, bell"
layer4,984,animals and water
layer4,984,animals and statues of animals
layer4,984,"dog, animal"
layer4,1759,"the right and left side of an animal, two friends hair"
layer4,1759,the background
layer4,1759,hair and the ocean
layer2,184,pale spots
layer2,184,sharks
layer2,184,lighter areas
layer4,200,things shaped like an arch
layer4,200,arches
layer4,200,structures by trees outside and human activity
layer4,1214,"water, poles, and animals"
layer4,1214,bridges
layer4,1214,vertical patterns
layer4,844,"kids in a classroom, graphic on a bottle, women's hair, a battle on the proud, a flag flying high"
layer4,844,animals and blue objects
layer4,844,blue objects
layer4,1470,"tables, cases ,laptops, carts and animals"
layer4,1470,brown and black animals
layer4,1470,"carriage, animal, keyboard"
layer1,189,"a salad on a plate, a musical on stage, a rim of a car, points of a spider web"
layer1,189,yellow and white areas
layer1,189,little bits of light color
layer2,164,the color orange
layer2,164,glowing orange or yellow in them
layer2,164,orange areas in picture
layer3,659,bows and buttons
layer3,659,area where object is indented
layer3,659,contain things that are fused together
layer3,931,box and noses
layer3,931,the area around bow shaped accessories
layer3,931,noses or bow shaped places
layer4,1721,"feet of objects or animals, a piggy bank"
layer4,1721,objects with legs or stems
layer4,1721,"long, thin items"
layer4,2015,"a bird flying in the sky, a strawberry, two friends posing for a photo"
layer4,2015,"animals, one person and one strawberry"
layer4,2015,two items that are connected
layer1,29,"an my player, a flower in the grass"
layer1,29,the outlines of objects
layer1,29,"plane, animal, person, flower"
layer1,82,a cat in water
layer1,82,colorful stripes and animals
layer1,82,the parts that connect 2 contrasting colors
layer3,564,"fruit, ceramics and metal objects"
layer3,564,metal objects
layer3,564,the curved lines in subject
layer3,774,backgrounds and neck outlines
layer3,774,necks of animals
layer3,774,area below and above head
layer4,627,animals and hats
layer4,627,animals and people
layer4,627,things outside
layer4,1072,curved black lines
layer4,1072,"poles, heels, grass and sticks"
layer4,1072,"flag, shoes, shovel, tools"
layer3,236,animals outside or inside!
layer3,236,animal legs and tails
layer3,236,animal
layer2,64,mainly patches of white
layer2,64,single color objects and edges of electronics
layer2,64,"outlines of electronics, animals and poles"
layer4,43,"water, screens and windows"
layer4,43,monitors
layer4,43,television and computer screens
layer3,707,dots and curved items
layer3,707,"bowl, hand, food, animal, fruit"
layer3,707,rounded edges in pictures
layer4,1262,"a girl holding a scarf, a star fish, a giant crab, a hanger for clothes, a dog in a bed, a bandaid on a man's face"
layer4,1262,objects with lines and texture
layer4,1262,sea animals
layer4,1975,"junk box, motorcycle wheel, dishwashing stand on the cabinet"
layer4,1975,"handles, poles and musical instruments"
layer4,1975,"person, nature, stove"
layer2,420,a white background
layer2,420,"space above an animal in wild, space above a mushroom, space above a monkey in tree, space above fruit, space above a forest"
layer2,420,the backgrounds around animals
layer2,23,"food, insects, safety equipment"
layer2,23,"outlines of circles, legs and sticks"
layer2,23,bugs
layer4,196,faces of dogs
layer4,196,animals and poles
layer4,196,green grass and dogs
layer4,1244,"animals, speakers and circular objects"
layer4,1244,brown dogs
layer4,1244,rounded edges in pictures
layer4,1379,"animals, tables and flowers"
layer4,1379,items on other items
layer4,1379,similar color patterns
layer3,83,edges between object and background
layer3,83,sea animals
layer3,83,two colors connecting to each other
layer3,751,human hands engaged in activity
layer3,751,human arms
layer3,751,"hair spray, instrument, animal"
layer4,1754,"snake in the grass, tail end of car, bowl, vegetables"
layer4,1754,animals and a car
layer4,1754,items with designs
layer2,13,"monkey, meerkat, posing for photo, space animals in a photo, space above plant life"
layer2,13,the color white
layer2,13,negative space above an abject
layer3,288,light and fire
layer3,288,"lighthouse in the distance, candle on a table"
layer3,288,fire in pictures
layer4,423,"people, produce and electronics"
layer4,423,include appendages
layer4,423,people doing things
layer4,209,"animals, ropes and balls"
layer4,209,brown dogs
layer4,209,similar patterns
layer4,1433,animals and circular objects
layer4,1433,dogs holding onto objects
layer4,1433,"person, lawn mower, ball, nature"
layer4,1304,dogs and birds
layer4,1304,dogs and handles
layer4,1304,dogs
layer1,19,fried rice on a plate
layer1,19,bits of yellow things
layer1,19,"animal, nature, person"
layer3,399,stripes of symmetry on different objects
layer3,399,red and other colorful stripes
layer3,399,similar patterns
layer3,120,"windows, eyes and homes"
layer3,120,spots containing grey features
layer3,120,eyes of animals
layer3,910,striped objects or animals
layer3,910,dogs
layer3,910,lines through them
layer4,1237,"animals, pens and lights"
layer4,1237,objects with red in them
layer4,1237,round red object
layer4,1615,"boats on the water, flute, flute"
layer4,1615,items with patterns
layer4,1615,long things
layer2,15,sunlight highlighted area
layer2,15,objects with ridges
layer2,15,similar patterns
layer3,456,rooftops
layer3,456,lines and edges
layer3,456,corners of things
layer3,909,"white, square features"
layer3,909,ipods
layer3,909,"safe, screen, electronic, wall, insects, painting"
layer4,661,"animals, food, and wooden objects"
layer4,661,dogs
layer4,661,things with hair
layer4,741,birds and animals with fur
layer4,741,"animals, food, and handles"
layer4,741,black and white birds
layer4,1677,"a man holding  bowl, a kid kicking a ball, a tennis ball a kid is holding, a speaker"
layer4,1677,circular objects
layer4,1677,items that are rounded
layer3,93,spots of red boundaries
layer3,93,small pieces of fabric that are on people
layer3,93,edges of objects
layer4,407,"}these are balloons, locks, animals and pottery"
layer4,407,objects with line patterns
layer4,407,hot air balloons
layer4,546,animals and counters
layer4,546,dogs
layer4,546,tops of objects
layer4,1050,black birds and dogs
layer4,1050,"animals, vehicles, and tables"
layer4,1050,animals and objects with lines or texture
layer4,1519,"text around a memorial, dog's color, dog, mouse"
layer4,1519,animals and towers and railings
layer4,1519,items with straight features
layer3,0,vertical lines
layer3,0,a thin line in them
layer3,0,vertical lines
layer3,981,spots of beige color
layer3,981,tan food items
layer3,981,edges of objects
layer3,758,faces of animals
layer3,758,animals and brushes
layer3,758,faces of dogs
layer4,320,bugs and ships
layer4,320,textured areas
layer4,320,bugs
layer4,1951,"animals, accordion, pens"
layer4,1951,"animals, fruit, instruments and pens"
layer4,1951,"people, nature, food"
layer4,1536,areas with brown or yellow hues
layer4,1536,items that are on other objects
layer4,1536,green areas in picture
layer1,173,"space on the boarder and text of a sign, chefur of a skunk, lines of a bottle, a dog holding a bone"
layer1,173,white spots
layer1,173,animals
layer1,86,"a wolf pup, a snake on the ground"
layer1,86,white areas in nature
layer1,86,parts of white areas
layer3,656,"small, round, dots"
layer3,656,green and blue dots
layer3,656,small blue dots
layer4,141,"food, animals and pens"
layer4,141,animals and objects that contain the color red
layer4,141,"animal, insect, music instrument, food, water"
layer4,739,"basket, food"
layer4,739,"animals, tires and stone"
layer4,739,textured surfaces
layer4,1300,animals and furniture
layer4,1300,two items that are connected
layer4,1300,"people, nature, animal"
layer3,197,"a jar of food, a pitcher"
layer3,197,glass bottles and pitchers
layer3,197,the middle of objects
layer2,300,points on a clock
layer2,300,"person, clock, screws, bug, numbers"
layer2,300,the canisters are striped with different colors
layer3,778,vehicles
layer3,778,bottom of windows
layer3,778,"the bottom edge of objects including window ledges, computer monitors, a child's coat and a seat belt buckle"
layer3,88,lights and animals
layer3,88,bodies of dogs
layer3,88,brighter areas in objects
layer4,1215,poles and roads
layer4,1215,railings
layer4,1215,similar color patterns
layer4,1058,"bear, bear, dog"
layer4,1058,animals and doorways
layer4,1058,animals
layer2,192,spots of the color white and repeating lines
layer2,192,small birds
layer2,192,tips of things
layer3,979,lampshades and other rounded objects
layer3,979,objects that hold things
layer3,979,brighter areas and shoulders of objects
layer4,483,bridges and poles
layer4,483,lines and wires
layer4,483,blue skies
layer4,586,curved lines and objects with jagged lines
layer4,586,"shovel on the gravel, text on a bed, ship ,pan"
layer4,586,handles and protruding objects
layer4,2008,"a man holding a piece of pizza, a group of kids posing for a photo, a women in a dress"
layer4,2008,clothes and bugs
layer4,2008,pink outfits
layer4,1523,"vehicles, dishes and blinds"
layer4,1523,sides of items
layer4,1523,things outside
layer2,428,spots of the color white and borders of lines and objects
layer2,428,a crockpot
layer2,428,edges of the object
layer3,345,pedals of a flower
layer3,345,flowers
layer3,345,"flowers, fabrics and strawberries"
layer3,788,circular objects and sticks
layer3,788,rounded tops
layer3,788,various objects that contain liquids
layer3,837,"metal objects, bottle tops and poles"
layer3,837,objects with lines
layer3,837,wooden stands
layer4,1308,"animals with beaks, metal objects, animals that live in the water, animals that are furry"
layer4,1308,"animals, instruments and cases"
layer4,1308,people holding objects
layer4,2003,"animals, oceans and food"
layer4,2003,small animals and fruits
layer4,2003,items connected to other items
layer2,312,mammals in their habitat
layer2,312,animal
layer2,312,the sky is blue and white in color
layer2,1,spots of orange color
layer2,1,horizontal outlines of colorful objects
layer2,1,dots
layer3,689,"piles or rocks or piles of things that look like rocks, dog feet and wheels of vehicles"
layer3,689,"rocks, pills, ties and dogs"
layer3,689,colorful balls
layer3,928,shiny and plaid objects
layer3,928,checkered pattern
layer3,928,fabric that is plaid in color
layer4,1745,"crowd of people, man's shirt, clothing on the floor, man kneeling next to a bunch of toilet paper"
layer4,1745,white objects
layer4,1745,person
layer4,1976,people and sunglasses
layer4,1976,sunglasses
layer4,1976,"person, sunglasses"
layer3,194,a hand strums a guitar
layer3,194,feet and spatulas
layer3,194,patterns
layer3,228,"a statue sits atop a base, a animal stands on the ground a sea otter swims to shore, a person poses for a photo"
layer3,228,"animals, bottles and statues"
layer3,228,"nature, people, structure, animal"
layer3,126,the color beige
layer3,126,tan animals
layer3,126,yellow areas in pictures
layer4,67,animals and circular objects
layer4,67,round objects
layer4,67,"logo, animal, spider"
layer4,975,"dog, women's shirt, pole in the sky, left side of a man"
layer4,975,"musical instruments, animals and the sky"
layer4,975,"animal, nature"
layer4,2040,"a bull, a snake, a dog"
layer4,2040,animals
layer4,2040,regions with items connected to each other
layer4,1921,faces of people
layer4,1921,items with curved features
layer4,1921,rounded edges in pictures
layer2,311,"the end of a dogs nose, a panda's ear"
layer2,311,animal
layer2,311,the animals are outside laying on the grass
layer1,63,a dog sitting on a sofa
layer1,63,colours in the picture
layer1,63,"person, electronics, clock, needle, car"
layer4,253,"animals, food and water"
layer4,253,food
layer4,253,"animal, food"
layer4,133,faces
layer4,133,face area of humans
layer4,133,touch a body part of a living thing
layer4,2033,crosses and diagonal lines
layer4,2033,"a squirrel, a light post, a sign on the side of a barn"
layer4,2033,items with straight features
layer4,929,objects that have hair
layer4,929,"hair, frit and bridges"
layer4,929,"fur, hair and other textures"
layer1,110,stripes on a zebra
layer1,110,aquatic life
layer1,110,what areas in between black lines
layer3,36,objects with lines and repeating gaps
layer3,36,"clothing, kitchen"
layer3,36,similar patterns
layer4,371,fences and sails
layer4,371,white fencing
layer4,371,planes and fences
layer4,412,people and tower items
layer4,412,faces and lampshades
layer4,412,similiar color
layer4,1346,"a women applying makeup, wolf, sheep, a  man playing an instrument"
layer4,1346,"dogs, vehicles and circular objects"
layer4,1346,objects with texture or patterns
layer4,1457,babies and people's hands
layer4,1457,"furniture, rates, kids and computers"
layer4,1457,"person, food, vehicle, nature"
layer2,325,wings of a hawk
layer2,325,a curved dark circle in them like an eye
layer2,325,small dots
layer2,418,spots of the color white
layer2,418,"window, nature"
layer2,418,similar patterns
layer3,469,the backs of brown animals
layer3,469,fur areas
layer3,469,butts of animals
layer3,565,animals and produce
layer3,565,"smooth, rounded objects"
layer3,565,rounded edges in pictures
layer4,619,animals and rounded objects
layer4,619,small balls
layer4,619,things that can be held
layer4,896,animals and circular objects
layer4,896,objects with brown hues
layer4,896,faces of dogs
layer4,1843,"dog's face, boots, flag"
layer4,1843,items that are connected
layer4,1843,similar color patterns
layer2,33,"a dog and his ball, windows on a front of a building, laundry basket, the top ridges of a gun"
layer2,33,"stripes, checkers and scales"
layer2,33,black striped items
layer3,350,cylindrical objects
layer3,350,older phones
layer3,350,regions with creases
layer4,438,nature in the background
layer4,438,textured areas
layer4,438,grassy areas and blue skies
layer3,673,"animals, curved objects and a suit"
layer3,673,land animals
layer3,673,spotted patterns on them
layer4,1132,"an alligator, a dog walking in the snow, a piece of bread, a camping bag, a puzzle of a cat"
layer4,1132,animals and bottles
layer4,1132,edges of objects
layer4,1544,"animals, curved objects and tables"
layer4,1544,rounded areas with a variegated pattern to them
layer4,1544,"person, food, statue, nature"
layer2,3,dots on points
layer2,3,beaks of birds
layer2,3,white dots of color
layer3,405,water as a background
layer3,405,shows backgrounds behind a being
layer3,405,backgrounds in pictures
layer3,698,"poles, arrows and similarly shaped items"
layer3,698,decals on clothing
layer3,698,include yellow
layer3,916,the sky or walls
layer3,916,sky
layer3,916,monkeys and dogs
layer4,727,people holding objects and metal items
layer4,727,reflected surfaces and clothes
layer4,727,black objects
layer4,1471,"food, hat"
layer4,1471,red and orange objects
layer4,1471,orange or tan
layer1,198,birds and animals roaming the grass or rocks
layer1,198,birds
layer1,198,nothing
layer3,992,cages and fences
layer3,992,cages
layer3,992,similar patterns
layer3,824,orange objects
layer3,824,red and orange objects
layer3,824,side area of an animal or object
layer4,584,animals and blimps
layer4,584,brown dogs
layer4,584,ears on dogs and other animals
layer4,965,square objects being held by humans
layer4,965,"cases, carts, laptops ad black items"
layer4,965,rectangular objects
layer4,1630,"text around four corners of a design, sock, cloth, star fish"
layer4,1630,backgrounds
layer4,1630,wooden flooring and doors
layer1,178,spots of the color white
layer1,178,"dogs or other animals posing for a photo, piece of an ice cream, birds, trees"
layer1,178,"cat, dog, flower, popsicle"
layer1,211,dogs on a bed
layer1,211,aquatic animals and dogs
layer1,211,animals
layer4,166,plants and trees
layer4,166,faces of brown dogs
layer4,166,areas around a central item or thing
layer4,680,wildlife and objects on grass
layer4,680,"stairs, water, and green grass and animals"
layer4,680,green grass
layer4,897,objects to fit on your hand and clothes
layer4,897,dirt areas
layer4,897,items with corners
layer4,1828,"masks a person is wearing a tractor, a ape, sunglasses a a person is wearing"
layer4,1828,animals
layer4,1828,openings
layer1,193,puppy
layer1,193,yellow and red
layer1,193,the space above animal
layer4,18,dead fish and people grabbing things
layer4,18,arms of humans
layer4,18,instruments
layer4,109,"vehicles, floors and water"
layer4,109,vehicles
layer4,109,people in extreme sporting events or motorized items
layer4,571,furry animals
layer4,571,animals and grass
layer4,571,red or brown objects
layer4,1023,white lines and edges
layer4,1023,white lines and water
layer4,1023,areas with lines
layer4,1821,"a searchlight,  light in a room, food on a plate"
layer4,1821,lights
layer4,1821,light sources
layer1,199,watermarks
layer1,199,spirals and sharks
layer1,199,corner of pictures
layer4,173,animals and textured objects
layer4,173,"book, animal, nature"
layer4,173,necks of things
layer3,629,the outlines of animals and vehicles and towers
layer3,629,pale areas around an object
layer3,629,dog ears
layer4,664,"animals, tools and vehicles"
layer4,664,metal objects
layer4,664,"items with long, thin straight lines"
layer4,726,object with red hues
layer4,726,human hands
layer4,726,"hat, animal, food"
layer3,11,the right side of curved objects
layer3,11,spots that contain color changes
layer3,11,light sources
layer2,245,things that are red
layer2,245,red white and blue borders
layer2,245,similar patterns
layer3,904,animal mouths
layer3,904,dogs and dog-like animals
layer3,904,contain the sides of faces
layer4,759,animals and chains
layer4,759,"dogs, an insect and birds"
layer4,759,eagle birds and dogs
layer4,1609,"animals, vehicles and pens"
layer4,1609,images containing red or brown hues
layer4,1609,numerous vehicles
layer4,1743,"animals, castles, rules, vehicles and random things"
layer4,1743,have two items connected
layer4,1743,brighter areas on objects
layer3,178,edges of blue and green
layer3,178,animal walking or laying
layer3,178,knees and boats
layer1,190,mammals in the water
layer1,190,sharks
layer1,190,written text
layer3,78,red parts of objects
layer3,78,red things
layer3,78,red areas in picture
layer4,152,textured areas
layer4,152,metal objects
layer4,152,a stick or ramekin like object
layer4,478,furniture and sweaters
layer4,478,backgrounds
layer4,478,people and dogs and their hair and fur
layer4,1081,"bird, insect"
layer4,1081,animals
layer4,1081,two items that are connected
layer4,1728,"pole woman are dancing around, a stick a dog has, a wallet, lock"
